Generated by running the §2 rounding rule (decimal ROUND_HALF_UP, fewer sig digits of the pair) on each fixture.

file | label | prose | table | fewer-sig | prose-rounded | table-rounded | unit-prose | unit-table | mechanical verdict
n-half-up-other-side.md | phi at small L | 0.95 | 0.9450 | 2 | 0.95 | 0.95 |  |  | SILENT
n-notation-differs.md | error at large L | 2.98e-2 | 0.0298 | 3 | 0.0298 | 0.0298 |  |  | SILENT
n-rounds-together.md | lambda-second | 1.18 | 1.1807776628998 | 3 | 1.18 | 1.18 |  |  | SILENT
p-counts-called-identical.md | N-first |  | 42 | - | - | - |  |  | no prose number
p-counts-called-identical.md | N-second | 42 | 20 | 2 | 42 | 20 |  |  | FINDING
p-digit-transposition.md | center-artifact cost | 0.47 | 0.74 | 2 | 0.47 | 0.74 |  |  | FINDING
p-half-up-boundary.md | phi at small L | 0.94 | 0.9450 | 2 | 0.94 | 0.95 |  |  | FINDING
p-manifest-count.md | manifest files | 19 | 18 | 2 | 19 | 18 |  |  | FINDING
p-one-sig-digit.md | strip edge | 3 | 2.4 | 1 | 3 | 2 |  |  | FINDING
p-phi-at-large-L.md | phi at large L | 0.9403 | 0.9851 | 4 | 0.9403 | 0.9851 |  |  | FINDING
p-rounds-apart.md | lambda-second | 1.19 | 1.1807776628998 | 3 | 1.19 | 1.18 |  |  | FINDING
p-sci-notation-swap.md | error at large L | 1.49e-2 | 1.94e-2 | 3 | 0.0149 | 0.0194 |  |  | FINDING
p-sign-dropped.md | phi limit | 0.047 | -0.047 | 2 | 0.047 | -0.047 |  |  | FINDING
p-unit-mismatch.md | runtime | 0.53 | 0.53 | 2 | 0.53 | 0.53 | ms | s | FINDING
