Generated by hashing anchor.txt and the bytes between the fences of the QUOTE-OF/VERBATIM block.

case | sha256(anchor.txt) | sha256(quoted block bytes) | DERIVED header | mechanical verdict
n-both-crlf | 4ebf67305aeaaaad | 4ebf67305aeaaaad | N | MATCH
n-derived-flattened | a74e6761b7a4fc1e | 1bad8ac8b21a44ad | Y | DERIVED (skip)
n-exact | a74e6761b7a4fc1e | a74e6761b7a4fc1e | N | MATCH
p-condensed | a74e6761b7a4fc1e | 677bffdbf99cc67d | N | MISMATCH
p-crlf | a74e6761b7a4fc1e | 4ebf67305aeaaaad | N | MISMATCH
p-indent-flattened | a74e6761b7a4fc1e | 1bad8ac8b21a44ad | N | MISMATCH
p-line-omitted | a74e6761b7a4fc1e | ab8f946dbbea1fab | N | MISMATCH
p-lines-reordered | a74e6761b7a4fc1e | a682327c2b900d47 | N | MISMATCH
p-one-char-changed | a74e6761b7a4fc1e | b0c988f467617b2f | N | MISMATCH
p-spaces-collapsed | a74e6761b7a4fc1e | 59577524d30f0cd7 | N | MISMATCH
p-stray-line-inside | a74e6761b7a4fc1e | f522acc78803a464 | N | MISMATCH
p-trailing-newline-dropped | a74e6761b7a4fc1e | 12db3fa873ae6fed | N | MISMATCH
p-verbatim-claim-wrong-revision | 939596f895562246 | a74e6761b7a4fc1e | N | MISMATCH
