Generated by hashing each manifest path at seal/ and head/, and grepping head/ledger/* (excluding the path itself) for the path string.

case | path | seal sha | head sha | status | declared by | verdict
n-append-declared | a.md | 827b6f478351 | f1028f6d1c54 | DIFFERS | ledger/decl.md | 
n-append-declared | b.md | fd7bdc677b08 | fd7bdc677b08 | SAME | - | 
n-append-declared | (case) | | | | | SILENT
n-renumber-declared | a.md | 827b6f478351 | 2ede000f5f2f | DIFFERS | ledger/decl.md | 
n-renumber-declared | b.md | fd7bdc677b08 | fd7bdc677b08 | SAME | - | 
n-renumber-declared | (case) | | | | | SILENT
n-sealed-ledger-declared-elsewhere | a.md | 827b6f478351 | 827b6f478351 | SAME | - | 
n-sealed-ledger-declared-elsewhere | b.md | fd7bdc677b08 | fd7bdc677b08 | SAME | - | 
n-sealed-ledger-declared-elsewhere | ledger/l.md | 054f823a4bf9 | 155fce887d09 | DIFFERS | ledger/other.md | 
n-sealed-ledger-declared-elsewhere | (case) | | | | | SILENT
p-append-undeclared | a.md | 827b6f478351 | f1028f6d1c54 | DIFFERS | NONE | FINDING
p-append-undeclared | b.md | fd7bdc677b08 | fd7bdc677b08 | SAME | - | 
p-append-undeclared | (case) | | | | | FINDING x1
p-declaration-names-nothing | a.md | 827b6f478351 | 8eba7b1e2451 | DIFFERS | NONE | FINDING
p-declaration-names-nothing | b.md | fd7bdc677b08 | fd7bdc677b08 | SAME | - | 
p-declaration-names-nothing | (case) | | | | | FINDING x1
p-declaration-names-other-path | a.md | 827b6f478351 | 8eba7b1e2451 | DIFFERS | NONE | FINDING
p-declaration-names-other-path | b.md | fd7bdc677b08 | fd7bdc677b08 | SAME | - | 
p-declaration-names-other-path | (case) | | | | | FINDING x1
p-declaration-outside-ledger | a.md | 827b6f478351 | 8eba7b1e2451 | DIFFERS | NONE | FINDING
p-declaration-outside-ledger | b.md | fd7bdc677b08 | fd7bdc677b08 | SAME | - | 
p-declaration-outside-ledger | (case) | | | | | FINDING x1
p-delete-undeclared | a.md | 827b6f478351 | absent | DELETE | NONE | FINDING
p-delete-undeclared | b.md | fd7bdc677b08 | fd7bdc677b08 | SAME | - | 
p-delete-undeclared | (case) | | | | | FINDING x1
p-edit-undeclared | a.md | 827b6f478351 | 2b6abf01cf0d | DIFFERS | NONE | FINDING
p-edit-undeclared | b.md | fd7bdc677b08 | fd7bdc677b08 | SAME | - | 
p-edit-undeclared | (case) | | | | | FINDING x1
p-renumber-undeclared | a.md | 827b6f478351 | 2ede000f5f2f | DIFFERS | NONE | FINDING
p-renumber-undeclared | b.md | fd7bdc677b08 | fd7bdc677b08 | SAME | - | 
p-renumber-undeclared | (case) | | | | | FINDING x1
p-sealed-ledger-self-declares | a.md | 827b6f478351 | 827b6f478351 | SAME | - | 
p-sealed-ledger-self-declares | b.md | fd7bdc677b08 | fd7bdc677b08 | SAME | - | 
p-sealed-ledger-self-declares | ledger/l.md | 054f823a4bf9 | d14da007bd76 | DIFFERS | NONE | FINDING
p-sealed-ledger-self-declares | (case) | | | | | FINDING x1
p-second-file-undeclared | a.md | 827b6f478351 | 0bc1aa641a9f | DIFFERS | ledger/decl.md | 
p-second-file-undeclared | b.md | fd7bdc677b08 | 9da3322e8604 | DIFFERS | NONE | FINDING
p-second-file-undeclared | (case) | | | | | FINDING x1
p-self-declared-only | a.md | 827b6f478351 | 11fa4e08254e | DIFFERS | NONE | FINDING
p-self-declared-only | b.md | fd7bdc677b08 | fd7bdc677b08 | SAME | - | 
p-self-declared-only | (case) | | | | | FINDING x1
